"","Name","Opinions","Price","Weight","Batteries.Required","length","width","height"
"https://www.amazon.com/Hoover-Complete-Bagless-Upright-UH74110/dp/B07TWCKN7D/ref=sr_1_14?dchild=1&keywords=vacuums&qid=1590865423&sr=8-14",NA,2635,131.981818181818,10.8889655172414,-1,19.8707142857143,13.0714285714286,12.9642857142857
"https://www.amazon.com/APOSEN-Cordless-Powerful-Brushless-Handheld/dp/B07Y37WDD5/ref=sr_1_15?dchild=1&keywords=vacuums&qid=1590865423&sr=8-15","
                
                    
                    
                

                
                    
                    
                        APOSEN Cordless Vacuum Cleaner 18KPa Powerful Suction 250W Brushless Motor 4 in 1 Stick Handheld Vacuum for Home Hard Floor Carpet Car Pet H250 Blue
                    
                

                
                    
                    
                
            ",1034,131.981818181818,5.5,0,17.32,2,20
"https://www.amazon.com/Sanitaire-SL4110A-Professional-Bagged-Upright/dp/B0844XKVR9/ref=sr_1_16?dchild=1&keywords=vacuums&qid=1590865423&sr=8-16","
                
                    
                    
                

                
                    
                    
                        Sanitaire, SL4110A Professional Bagged Upright Vacuum with On-Board Tools
                    
                

                
                    
                    
                
            ",21,139.99,16.66,0,12,12,9
"https://www.amazon.com/Hoover-Windtunnel-Capacity-Filtration-UH71100/dp/B07TV8QY93/ref=sr_1_17?dchild=1&keywords=vacuums&qid=1590865423&sr=8-17","
                
                    
                    
                

                
                    
                    
                        Hoover Windtunnel Max Capacity Upright Vacuum Cleaner with HEPA Media Filtration, UH71100, Red
                    
                

                
                    
                    
                
            ",126,99.99,16.1,0,13,13,10
"https://www.amazon.com/Shark-DuoClean-Zero-M-ZS362-Vacuum/dp/B07NFSG4FR/ref=sr_1_18?dchild=1&keywords=vacuums&qid=1590865423&sr=8-18","
                
                    
                    
                

                
                    
                    
                        Shark APEX DuoClean with Zero-M No Hair Wrap (ZS362) Stick Vacuum, Forest Mist Blue
                    
                

                
                    
                    
                
            ",854,249.99,10.8889655172414,0,10.2,23,15
"https://www.amazon.com/ORFELD-Cordless-Lithium-ion-Batteries-Japanese/dp/B08736YYC5/ref=sr_1_19?dchild=1&keywords=vacuums&qid=1590865423&sr=8-19","
                
                    
                    
                

                
                    
                    
                        ORFELD Cordless Vacuum, 22000pa Stick Vacuum 5 in 1, Smart Sensor Tech, 7-Cell Lithium-ion Batteries, Up to 60 Minutes Runtime, with Dual Japanese Motor for Deep Clean Whole House
                    
                

                
                    
                    
                
            ",15,131.981818181818,7.48,1,45.28,24,23
"https://www.amazon.com/APOSEN-Cordless-Powerful-Brushless-Handheld/dp/B07Y37WDD5/ref=sr_1_19?dchild=1&keywords=vacuums&qid=1590865424&sr=8-19",NA,2635,131.981818181818,10.8889655172414,-1,19.8707142857143,13.0714285714286,12.9642857142857
"https://www.amazon.com/BISSELL-Eraser-Lithium-Handheld-Cordless/dp/B07CB6RBSP/ref=sr_1_20?dchild=1&keywords=vacuums&qid=1590865424&sr=8-20","
                
                    
                    
                

                
                    
                    
                        BISSELL Pet Hair Eraser Lithium Ion Cordless Hand Vacuum, Purple
                    
                

                
                    
                    
                
            ",2962,69.99,4.24,1,4.5,17,17
"https://www.amazon.com/A10-Hero-Cordless-Lightweight-Authorized/dp/B07C5MXJMX/ref=sr_1_21?dchild=1&keywords=vacuums&qid=1590865424&sr=8-21","
                
                    
                    
                

                
                    
                    
                        Tineco A10 Hero Cordless Stick Vacuum Cleaner, Powerful Suction, Multi-Surface Cleaning, Great for Pet Hair, Space Blue
                    
                

                
                    
                    
                
            ",3457,149.99,5.03,1,12.5,20,8
"https://www.amazon.com/Shark-Navigator-Freestyle-Brushroll-SV1106/dp/B00C351GBC/ref=sr_1_22?dchild=1&keywords=vacuums&qid=1590865424&sr=8-22",NA,2635,131.981818181818,10.8889655172414,-1,19.8707142857143,13.0714285714286,12.9642857142857
